я кашляю	mon kozan	мон козан	6.01	мон козан
я устал	mon s'iz'ən'	мон сизень	6.02	мон сизень
как я устал	mon s'ɛškava s'iz'ən'	мон сяшкава сизень!	6.03	мон сяшкава сизень
дай лекарство	makst nadobijə	макст надобья	6.04	макст надобья
я голоден	mon vačədan	мон вачедан	6.05	мон вачедан
я хочу спать	mon' sas' udəmaz'ə	монь сась удомазе	6.06	монь сась удомазе
я хочу пить	mon' sas' s'iməmaz'ə	монь сась симомазе	6.07	монь сась симомазе
как твоё здоровье	koda šumbrašic'ə?	кода шумбрашице?	6.08	кода шумбрашице
что у тебя болит?	mez'c'e s'ɛ'r'ɛd'i?	мезце сяряди?	6.09	мезьце сяряди?
откуда болит?	kostə s'ɛ'r'ɛd'i	коста сяряди?	6.10	коста сяряди
ты выздоровел?	ton pəčkɛt'?	тон пчкять?	6.11	тон пчкять
я уже выздоровел	mon af s'ɛr'ɛd'an	мон аф сярядян	6.12	мон аф сярядян
я не выспался	mon iz'ən' udəvə	мон изень удова	6.13	мон изень удова
я хочу отдохнуть	mon' mɛl'ɛz'ə vajmams	монь мялезе ваймамс	6.14	монь мялезе ваймамс
позовите врача	t'er'd'ədə vrač	тердеда врач	6.15	тердеда врач
его положили в больницу	son' bal'nic'ɛv putəz'	сонь больницяв путозь	6.16	сонь больницяв путозь
отдыхай	vajmak	ваймак!	6.17	ваймак
у меня температура	mon' t'əmp'əraturaz'ə	монь температуразе	6.18	монь температуразе
меня лихорадит	šukacaman'	шукадсамань	6.19	шукадсамань
меня знобит	ɛjəndafcaman'	эендафтсамань	6.20	эендафтсамань
у меня идёт кровь	vers' šud'i 	версь шуди	6.21	версь шуди
больница	bal'nic'ɛ	больниця	6.22	больниця
мне нравится ...	mon' tus' m'ɛl'ɛzən ...	монь тусь мялезон	6.23	монь тусь мялезон
меня тошнит	uksəlman'ə keps'ij̊t	уксолмане кепсихть	6.24	уксолмане кепсихть
меня укусила собака	mon' suskəman' pin'əs'	монь сускомань пинесь	6.25	монь сускомань пинесь
у меня текут слёзы	s'elməv'edn'ə šud'ij̊t'	сельмоведне шудихть	6.26	сельмоведне шудихть
я чихаю	kəšn'an	кшнян	6.27	кшнян
кости ломит	pakərn'ən' pamər'cin'e	пакарнень паморьдсине	6.28	пакарьнень паморьдсине
у меня чешется рука	k'ɛd'ɛz'ə kit'n'i	кядезе китни	6.29	кядезе китни
я прополоскал горло	štajn'e kərgaz'ən	штайне кргазень	6.30	штайне кргазень
я прокашлялся	kozəven'	козовонь	6.31	козовонь
у меня болит голова	 mon' s'ɛr'ɛd'i pr'ɛz'ə	монь сяряди прязе	6.32	монь сяряди прязе
мне что-то нехорошо	mon'd'ejən kati mez'ə af c'eb'ɛr'	мондеен кати-мезе аф цебярь	6.33	мондеен кати-мезе аф цебярь
мне душно 	mon'd'ejən dušnə	мондеен душна	6.34	мондеен душна
я злюсь	mon k'ɛžijɛkšn'an	мон кяжиякшнян	6.35	мон кяжиякшнян
я на него обиделся 	mon ezdənzə obəžavan'	мон эздонза обжавонь	6.36	мон эздонза обжавонь
я задыхаюсь 	vajməz'e af tarks'əvi	ваймозе аф тарксеви	6.37	ваймозе аф тарксеви
